Date,Open,High,Low,Close,Volume
2014-01-02,149.8,152.48,146.55,150.1,6195355
2014-01-03,150.0,152.19,148.6,149.56,4698839
2014-01-06,150.0,150.4,145.24,147.0,5367320
2014-01-07,147.62,150.4,145.25,149.36,5041806
2014-01-08,148.85,153.7,148.76,151.28,6166674
2014-01-09,152.5,153.43,146.85,147.53,5388905
2014-01-10,148.46,148.9,142.25,145.72,7450531
2014-01-13,145.78,147.0,137.82,139.34,6324647
2014-01-14,140.5,162.0,136.67,161.27,27935828
2014-01-15,168.45,172.23,162.1,164.13,20488981
2014-01-16,162.5,172.7,162.4,170.97,11982099
2014-01-17,170.19,173.2,167.95,170.01,9216028
2014-01-21,171.24,177.29,170.81,176.68,9745765
2014-01-22,177.81,180.32,174.76,178.56,7036758
2014-01-23,177.23,182.38,173.42,181.5,7899515
2014-01-24,177.85,180.48,173.53,174.6,7711296
2014-01-27,175.16,177.92,164.71,169.62,8737773
2014-01-28,171.5,178.98,171.0,178.38,6128237
2014-01-29,175.3,179.09,173.13,175.23,5956817
2014-01-30,178.0,184.78,177.01,182.84,8575210
2014-01-31,178.85,186.0,178.51,181.41,6512951
2014-02-03,182.89,184.88,175.16,177.11,6778609
2014-02-04,180.7,181.6,176.2,178.73,4690883
2014-02-05,178.3,180.59,169.36,174.42,7275952
2014-02-06,176.3,180.11,176.0,178.38,5847953
2014-02-07,181.01,186.63,179.6,186.53,8964054
2014-02-10,189.34,199.3,189.32,196.56,12989286
2014-02-11,198.97,202.2,192.7,196.62,10734472
2014-02-12,195.78,198.27,194.32,195.32,5181313
2014-02-13,193.34,202.72,193.25,199.63,8174049
2014-02-14,198.1,201.88,197.0,198.23,6173462
2014-02-18,205.24,206.0,201.36,203.7,9355871
2014-02-19,203.7,203.7,193.41,193.64,16419899
2014-02-20,215.01,215.21,206.27,209.97,18022262
2014-02-21,211.64,213.98,209.19,209.6,7828981
2014-02-24,208.76,218.36,208.32,217.65,8303133
2014-02-25,230.0,259.2,228.45,248.0,32797000
2014-02-26,258.58,265.0,247.5,253.0,24771194
2014-02-27,263.25,261.9,248.33,252.54,17970707
2014-02-28,249.65,252.68,242.55,244.81,14612693
2014-03-03,237.26,251.65,234.99,250.56,13109303
2014-03-04,258.48,260.0,252.83,254.84,8765392
2014-03-05,256.72,256.99,251.8,252.66,5946736
2014-03-06,254.14,257.5,249.45,252.94,7374719
2014-03-07,252.94,254.85,244.41,246.21,7818465
2014-03-10,242.7,243.0,236.06,238.84,7745751
2014-03-11,236.5,244.6,232.43,234.41,8836349
2014-03-12,231.5,247.5,231.11,241.49,9763911
2014-03-13,243.79,244.19,234.0,237.79,6236325
2014-03-14,235.29,236.94,228.32,230.97,8289733
2014-03-17,234.95,237.93,230.5,233.98,5912592
2014-03-18,236.95,241.5,235.02,240.04,6242349
2014-03-19,241.39,241.55,233.51,235.84,5071327
2014-03-20,236.16,239.25,233.36,234.91,3817905
2014-03-21,236.02,236.2,227.5,228.89,8227311
2014-03-24,229.75,229.9,210.27,220.17,11332947
2014-03-25,224.14,227.05,217.9,220.44,7865375
2014-03-26,221.95,222.6,211.35,212.96,6907306
2014-03-27,212.37,213.6,203.0,207.32,9505307
2014-03-28,212.8,216.72,210.27,212.37,9684761
2014-03-31,216.5,216.75,206.39,208.45,8380023
2014-04-01,209.02,218.16,208.58,216.97,7371422
2014-04-02,220.0,230.89,218.05,230.29,10782251
2014-04-03,230.3,235.73,222.0,225.4,10923734
2014-04-04,226.01,228.27,211.25,212.22,11345618
2014-04-07,205.81,216.2,203.51,207.52,9855478
2014-04-08,210.05,216.49,206.42,215.46,6889296
2014-04-09,216.76,218.45,210.89,216.93,5157923
2014-04-10,216.82,217.5,203.79,204.19,7211492
2014-04-11,200.61,207.0,198.6,203.78,9071300
2014-04-14,207.6,208.44,194.41,198.09,7703031
2014-04-15,199.09,199.29,184.32,193.91,13667071
2014-04-16,197.0,199.99,190.82,199.11,7205319
2014-04-17,199.61,202.29,194.08,198.12,5929506
2014-04-21,197.08,206.2,194.0,204.38,5266490
2014-04-22,206.36,219.33,205.01,218.64,9809333
2014-04-23,216.33,216.74,207.0,207.99,7295609
2014-04-24,210.81,212.8,203.2,207.86,5504768
2014-04-25,202.0,206.7,197.65,199.85,6996658
2014-04-28,200.0,203.79,190.5,198.51,7041983
2014-04-29,198.21,207.15,195.53,206.92,5787369
2014-04-30,203.6,208.16,201.28,207.89,4443453
2014-05-01,207.08,214.02,205.69,207.73,5444670
2014-05-02,208.6,211.36,206.52,210.91,4091394
2014-05-05,209.48,217.69,208.52,216.61,5152343
2014-05-06,216.6,218.66,206.85,207.28,5636725
2014-05-07,209.64,210.2,197.25,201.35,10179291
2014-05-08,182.0,194.4,178.0,178.59,20056591
2014-05-09,179.86,183.4,177.22,182.26,8495159
2014-05-12,183.87,187.19,179.88,184.67,7004330
2014-05-13,183.76,191.34,183.0,190.16,7097242
2014-05-14,188.95,193.48,187.1,190.62,5414945
2014-05-15,189.98,192.66,185.3,188.59,6046139
2014-05-16,188.95,192.04,187.72,191.56,4489312
2014-05-19,190.72,196.89,190.0,196.09,4571660
2014-05-20,196.94,199.33,193.07,195.3,5553877
2014-05-21,196.18,199.87,194.79,199.45,5290755
2014-05-22,200.35,206.88,199.56,204.88,6216255
2014-05-23,204.53,207.76,202.5,207.3,4010931
2014-05-27,208.52,213.87,207.7,211.56,5346788
2014-05-28,210.02,212.77,205.26,210.24,5496278
2014-05-29,210.57,212.49,207.72,210.24,3694596
2014-05-30,210.3,214.8,207.02,207.77,5586068
2014-06-02,207.33,209.35,201.67,204.7,4668115
2014-06-03,203.49,208.0,202.59,204.94,3866182
2014-06-04,204.35,206.26,200.4,203.99,3434502
2014-06-05,204.47,209.2,204.05,206.9,4059285
2014-06-06,209.75,210.81,207.18,208.17,3074900
2014-06-09,207.95,209.99,204.2,205.31,2813066
2014-06-10,204.43,206.97,201.55,202.3,3522336
2014-06-11,201.5,205.0,199.25,204.47,3980491
2014-06-12,205.1,209.88,202.71,203.52,5997144
2014-06-13,204.78,206.79,201.58,206.42,3546789
2014-06-16,206.76,225.49,206.26,224.61,13246352
2014-06-17,224.11,235.54,222.85,231.67,13304907
2014-06-18,231.5,231.71,226.12,227.12,6947053
2014-06-19,228.88,235.31,227.0,227.79,8801907
2014-06-20,228.52,231.29,226.2,229.59,4908077
2014-06-23,229.51,238.99,228.22,237.22,7800189
2014-06-24,238.97,241.88,231.63,232.5,8081109
2014-06-25,233.05,237.55,230.24,236.89,5803257
2014-06-26,237.17,240.4,234.21,235.6,5122972
2014-06-27,234.69,240.0,234.5,239.06,5638787
2014-06-30,239.55,244.49,239.0,240.06,4833602
2014-07-01,242.46,243.44,238.7,239.72,4341242
